low.token	low.lemma	pos	freq	ent	frei	los	un	typ	basis
ungenutztem	ungenutzt	ADJA	737	FALSE	FALSE	FALSE	TRUE	un-	genutzt
unübersehbarem	unübersehbar	ADJA	737	FALSE	FALSE	FALSE	TRUE	un-	übersehbar
entschuldbaren	entschuldbar	ADJA	737	TRUE	FALSE	FALSE	FALSE	ent-	schuldbar
ungespritztes	ungespritzt	ADJA	737	FALSE	FALSE	FALSE	TRUE	un-	gespritzt
ungehobenen	ungehoben	ADJA	736	FALSE	FALSE	FALSE	TRUE	un-	gehoben
uneffizient	uneffizient	ADJD	736	FALSE	FALSE	FALSE	TRUE	un-	effizient
unermeßliche	unermesslich	ADJA	735	FALSE	FALSE	FALSE	TRUE	un-	ermesslich
enthemmend	enthemmend	ADJD	735	TRUE	FALSE	FALSE	FALSE	ent-	hemmend
spannungslosen	spannungslos	ADJA	734	FALSE	FALSE	TRUE	FALSE	-los	spannungs
unvorteilhafter	unvorteilhaft	ADJA	734	FALSE	FALSE	FALSE	TRUE	un-	vorteilhaft
unsystematische	unsystematisch	ADJA	734	FALSE	FALSE	FALSE	TRUE	un-	systematisch
grenzfreien	grenzfrei	ADJA	734	FALSE	TRUE	FALSE	FALSE	-frei	grenz
unvoreingenommener	unvoreingenommen	ADJD	734	FALSE	FALSE	FALSE	TRUE	un-	voreingenommen
unverletzbar	unverletzbar	ADJD	734	FALSE	FALSE	FALSE	TRUE	un-	verletzbar
geheimnislos	geheimnislos	ADJD	734	FALSE	FALSE	TRUE	FALSE	-los	geheimnis
stimmlos	stimmlos	ADJD	734	FALSE	FALSE	TRUE	FALSE	-los	stimm
entsendeten	entsandt	ADJA	733	TRUE	FALSE	FALSE	FALSE	ent-	sandt
unproduktiver	unproduktiv	ADJA	733	FALSE	FALSE	FALSE	TRUE	un-	produktiv
qualmfreie	qualmfrei	ADJA	733	FALSE	TRUE	FALSE	FALSE	-frei	qualm
angstfreier	angstfrei	ADJA	732	FALSE	TRUE	FALSE	FALSE	-frei	angst
unbehauenen	unbehauen	ADJA	732	FALSE	FALSE	FALSE	TRUE	un-	behauen
unbewältigt	unbewältigt	ADJD	732	FALSE	FALSE	FALSE	TRUE	un-	bewältigt
unglückseliger	unglückselig	ADJA	731	FALSE	FALSE	FALSE	TRUE	un-	glückselig
vorurteilsfreies	vorurteilsfrei	ADJA	731	FALSE	TRUE	FALSE	FALSE	-frei	vorurteils
beanstandungsfrei	beanstandungsfrei	ADJD	730	FALSE	TRUE	FALSE	FALSE	-frei	beanstandungs
faltenfreie	faltenfrei	ADJA	728	FALSE	TRUE	FALSE	FALSE	-frei	falten
unvergesslichsten	unvergesslich	ADJA	728	FALSE	FALSE	FALSE	TRUE	un-	vergesslich
spielfreier	spielfrei	ADJA	728	FALSE	TRUE	FALSE	FALSE	-frei	spiel
unzugängliches	unzugänglich	ADJA	728	FALSE	FALSE	FALSE	TRUE	un-	zugänglich
glanzlosem	glanzlos	ADJA	727	FALSE	FALSE	TRUE	FALSE	-los	glanz
unparteiisches	unparteiisch	ADJA	727	FALSE	FALSE	FALSE	TRUE	un-	parteiisch
unbare	unbar	ADJA	727	FALSE	FALSE	FALSE	TRUE	un-	bar
ungestörtem	ungestört	ADJA	726	FALSE	FALSE	FALSE	TRUE	un-	gestört
unbeleuchteter	unbeleuchtet	ADJA	726	FALSE	FALSE	FALSE	TRUE	un-	beleuchtet
konkurrenzloses	konkurrenzlos	ADJA	726	FALSE	FALSE	TRUE	FALSE	-los	konkurrenz
einflusslos	einflusslos	ADJD	726	FALSE	FALSE	TRUE	FALSE	-los	einfluss
schwefelfrei	schwefelfrei	ADJD	726	FALSE	TRUE	FALSE	FALSE	-frei	schwefel
unrentables	unrentabel	ADJA	725	FALSE	FALSE	FALSE	TRUE	un-	rentabel
unabsichtliches	unabsichtlich	ADJA	725	FALSE	FALSE	FALSE	TRUE	un-	absichtlich
uneingelöste	uneingelöst	ADJA	724	FALSE	FALSE	FALSE	TRUE	un-	eingelöst
unauffälligere	unauffällig	ADJA	723	FALSE	FALSE	FALSE	TRUE	un-	auffällig
herzloses	herzlos	ADJA	723	FALSE	FALSE	TRUE	FALSE	-los	herz
unglaubwürdiges	unglaubwürdig	ADJA	723	FALSE	FALSE	FALSE	TRUE	un-	glaubwürdig
willenloses	willenlos	ADJA	723	FALSE	FALSE	TRUE	FALSE	-los	willen
ausdruckslosem	ausdruckslos	ADJA	723	FALSE	FALSE	TRUE	FALSE	-los	ausdrucks
entmündigte	entmündigt	ADJA	722	TRUE	FALSE	FALSE	FALSE	ent-	mündigt
taktlosen	taktlos	ADJA	722	FALSE	FALSE	TRUE	FALSE	-los	takt
unmotiviertes	unmotiviert	ADJA	722	FALSE	FALSE	FALSE	TRUE	un-	motiviert
unrenovierte	unrenoviert	ADJA	721	FALSE	FALSE	FALSE	TRUE	un-	renoviert
ausnahmsloses	ausnahmslos	ADJA	721	FALSE	FALSE	TRUE	FALSE	-los	ausnahms
unzähmbare	unzähmbar	ADJA	721	FALSE	FALSE	FALSE	TRUE	un-	zähmbar
unbehelligten	unbehelligt	ADJA	721	FALSE	FALSE	FALSE	TRUE	un-	behelligt
ungebärdig	ungebärdig	ADJD	721	FALSE	FALSE	FALSE	TRUE	un-	gebärdig
ungebeugt	ungebeugt	ADJD	721	FALSE	FALSE	FALSE	TRUE	un-	gebeugt
ungeprobt	ungeprobt	ADJD	721	FALSE	FALSE	FALSE	TRUE	un-	geprobt
enthemmende	enthemmend	ADJA	720	TRUE	FALSE	FALSE	FALSE	ent-	hemmend
konturenlos	konturenlos	ADJD	719	FALSE	FALSE	TRUE	FALSE	-los	konturen
ungefährdetem	ungefährdet	ADJA	717	FALSE	FALSE	FALSE	TRUE	un-	gefährdet
unrenovierten	unrenoviert	ADJA	717	FALSE	FALSE	FALSE	TRUE	un-	renoviert
teilnahmslose	teilnahmslos	ADJA	717	FALSE	FALSE	TRUE	FALSE	-los	teilnahms
entschlossensten	entschlossen	ADJA	717	TRUE	FALSE	FALSE	FALSE	ent-	schlossen
entwässerten	entwässert	ADJA	717	TRUE	FALSE	FALSE	FALSE	ent-	wässert
unfähiger	unfähig	ADJD	717	FALSE	FALSE	FALSE	TRUE	un-	fähig
blockfrei	blockfrei	ADJD	716	FALSE	TRUE	FALSE	FALSE	-frei	block
unpopulärsten	unpopulär	ADJA	715	FALSE	FALSE	FALSE	TRUE	un-	populär
unverwundbaren	unverwundbar	ADJA	715	FALSE	FALSE	FALSE	TRUE	un-	verwundbar
rahmenlos	rahmenlos	ADJD	715	FALSE	FALSE	TRUE	FALSE	-los	rahmen
fahrerloser	fahrerlos	ADJA	714	FALSE	FALSE	TRUE	FALSE	-los	fahrer
unübersichtlicheren	unübersichtlich	ADJA	714	FALSE	FALSE	FALSE	TRUE	un-	übersichtlich
respektlosem	respektlos	ADJA	714	FALSE	FALSE	TRUE	FALSE	-los	respekt
unbeholfenes	unbeholfen	ADJA	714	FALSE	FALSE	FALSE	TRUE	un-	beholfen
ungeschütztes	ungeschützt	ADJA	714	FALSE	FALSE	FALSE	TRUE	un-	geschützt
argloses	arglos	ADJA	714	FALSE	FALSE	TRUE	FALSE	-los	arg
wertungsfrei	wertungsfrei	ADJD	714	FALSE	TRUE	FALSE	FALSE	-frei	wertungs
bewußtlosen	bewusstlos	ADJA	713	FALSE	FALSE	TRUE	FALSE	-los	bewusst
ungestümem	ungestüm	ADJA	712	FALSE	FALSE	FALSE	TRUE	un-	gestüm
leistungsfrei	leistungsfrei	ADJD	712	FALSE	TRUE	FALSE	FALSE	-frei	leistungs
unappetitlicher	unappetitlich	ADJD	712	FALSE	FALSE	FALSE	TRUE	un-	appetitlich
ungespielt	ungespielt	ADJD	712	FALSE	FALSE	FALSE	TRUE	un-	gespielt
unbestuhlt	unbestuhlt	ADJD	712	FALSE	FALSE	FALSE	TRUE	un-	bestuhlt
unpersönlicher	unpersönlich	ADJA	711	FALSE	FALSE	FALSE	TRUE	un-	persönlich
unverhandelbare	unverhandelbar	ADJA	711	FALSE	FALSE	FALSE	TRUE	un-	verhandelbar
ungemähten	ungemäht	ADJA	711	FALSE	FALSE	FALSE	TRUE	un-	gemäht
unzugänglicher	unzugänglich	ADJA	710	FALSE	FALSE	FALSE	TRUE	un-	zugänglich
suchtfreies	suchtfrei	ADJA	710	FALSE	TRUE	FALSE	FALSE	-frei	sucht
undenkbarer	undenkbar	ADJA	709	FALSE	FALSE	FALSE	TRUE	un-	denkbar
unberechenbarsten	unberechenbar	ADJA	709	FALSE	FALSE	FALSE	TRUE	un-	berechenbar
ungreifbaren	ungreifbar	ADJA	709	FALSE	FALSE	FALSE	TRUE	un-	greifbar
entwidmeten	entwidmet	ADJA	708	TRUE	FALSE	FALSE	FALSE	ent-	widmet
unberührtem	unberührt	ADJA	708	FALSE	FALSE	FALSE	TRUE	un-	berührt
mangelfrei	mangelfrei	ADJD	708	FALSE	TRUE	FALSE	FALSE	-frei	mangel
unverhofftem	unverhofft	ADJA	707	FALSE	FALSE	FALSE	TRUE	un-	verhofft
fassunglos	fassunglos	ADJD	707	FALSE	FALSE	TRUE	FALSE	-los	fassung
baumlos	baumlos	ADJD	707	FALSE	FALSE	TRUE	FALSE	-los	baum
unbestreitbares	unbestreitbar	ADJA	706	FALSE	FALSE	FALSE	TRUE	un-	bestreitbar
brieflos	brieflos	ADJD	706	FALSE	FALSE	TRUE	FALSE	-los	brief
unchristlicher	unchristlich	ADJA	705	FALSE	FALSE	FALSE	TRUE	un-	christlich
schlackenlos	schlackenlos	ADJD	705	FALSE	FALSE	TRUE	FALSE	-los	schlacken
undefinierbarem	undefinierbar	ADJA	704	FALSE	FALSE	FALSE	TRUE	un-	definierbar
unrealisierten	unrealisiert	ADJA	704	FALSE	FALSE	FALSE	TRUE	un-	realisiert
unerfahrenste	unerfahren	ADJA	704	FALSE	FALSE	FALSE	TRUE	un-	erfahren
ungalant	ungalant	ADJD	704	FALSE	FALSE	FALSE	TRUE	un-	galant
unzweckmässig	unzweckmässig	ADJD	703	FALSE	FALSE	FALSE	TRUE	un-	zweckmässig
unkoordinierter	unkoordiniert	ADJA	702	FALSE	FALSE	FALSE	TRUE	un-	koordiniert
problemfreie	problemfrei	ADJA	702	FALSE	TRUE	FALSE	FALSE	-frei	problem
unauffindbare	unauffindbar	ADJA	702	FALSE	FALSE	FALSE	TRUE	un-	auffindbar
uneinholbarer	uneinholbar	ADJA	701	FALSE	FALSE	FALSE	TRUE	un-	einholbar
nebenwirkungsfreie	nebenwirkungsfrei	ADJA	701	FALSE	TRUE	FALSE	FALSE	-frei	nebenwirkungs
unkonstanten	unkonstant	ADJA	701	FALSE	FALSE	FALSE	TRUE	un-	konstant
ungezielte	ungezielt	ADJA	701	FALSE	FALSE	FALSE	TRUE	un-	gezielt
unpfändbar	unpfändbar	ADJD	701	FALSE	FALSE	FALSE	TRUE	un-	pfändbar
entbundenen	entbunden	ADJA	700	TRUE	FALSE	FALSE	FALSE	ent-	bunden
frostfreier	frostfrei	ADJA	700	FALSE	TRUE	FALSE	FALSE	-frei	frost
ungefilterter	ungefiltert	ADJA	700	FALSE	FALSE	FALSE	TRUE	un-	gefiltert
ungezähmter	ungezähmt	ADJA	700	FALSE	FALSE	FALSE	TRUE	un-	gezähmt
unabgeschlossen	unabgeschlossen	ADJD	700	FALSE	FALSE	FALSE	TRUE	un-	abgeschlossen
unverhältnismäßiges	unverhältnismäßig	ADJA	699	FALSE	FALSE	FALSE	TRUE	un-	verhältnismäßig
unverwechselbarer	unverwechselbar	ADJD	699	FALSE	FALSE	FALSE	TRUE	un-	verwechselbar
unbenützbar	unbenützbar	ADJD	699	FALSE	FALSE	FALSE	TRUE	un-	benützbar
unbezahltem	unbezahlt	ADJA	698	FALSE	FALSE	FALSE	TRUE	un-	bezahlt
gewaltfreiem	gewaltfrei	ADJA	698	FALSE	TRUE	FALSE	FALSE	-frei	gewalt
unverdaute	unverdaut	ADJA	698	FALSE	FALSE	FALSE	TRUE	un-	verdaut
unabkömmlichen	unabkömmlich	ADJA	698	FALSE	FALSE	FALSE	TRUE	un-	abkömmlich
entrissenen	entrissen	ADJA	698	TRUE	FALSE	FALSE	FALSE	ent-	rissen
ungemähte	ungemäht	ADJA	698	FALSE	FALSE	FALSE	TRUE	un-	gemäht
unverfügbar	unverfügbar	ADJD	698	FALSE	FALSE	FALSE	TRUE	un-	verfügbar
straffreier	straffrei	ADJA	697	FALSE	TRUE	FALSE	FALSE	-frei	straf
patentfreien	patentfrei	ADJA	697	FALSE	TRUE	FALSE	FALSE	-frei	patent
honorarfreien	honorarfrei	ADJA	697	FALSE	TRUE	FALSE	FALSE	-frei	honorar
unbetroffen	unbetroffen	ADJD	697	FALSE	FALSE	FALSE	TRUE	un-	betroffen
pachtfrei	pachtfrei	ADJD	697	FALSE	TRUE	FALSE	FALSE	-frei	pacht
unordentlicher	unordentlich	ADJA	696	FALSE	FALSE	FALSE	TRUE	un-	ordentlich
unveränderbare	unveränderbar	ADJA	696	FALSE	FALSE	FALSE	TRUE	un-	veränderbar
auswegloser	ausweglos	ADJD	696	FALSE	FALSE	TRUE	FALSE	-los	ausweg
würdeloses	würdelos	ADJA	695	FALSE	FALSE	TRUE	FALSE	-los	würde
undisziplinierter	undiszipliniert	ADJA	694	FALSE	FALSE	FALSE	TRUE	un-	diszipliniert
erbarmungsloses	erbarmungslos	ADJA	694	FALSE	FALSE	TRUE	FALSE	-los	erbarmungs
unersetzbarer	unersetzbar	ADJA	692	FALSE	FALSE	FALSE	TRUE	un-	ersetzbar
unübersetzt	unübersetzt	ADJD	692	FALSE	FALSE	FALSE	TRUE	un-	übersetzt
ungustiös	ungustiös	ADJD	692	FALSE	FALSE	FALSE	TRUE	un-	gustiös
frostfreies	frostfrei	ADJA	691	FALSE	TRUE	FALSE	FALSE	-frei	frost
unverkäuflicher	unverkäuflich	ADJA	691	FALSE	FALSE	FALSE	TRUE	un-	verkäuflich
bewegungslose	bewegungslos	ADJA	691	FALSE	FALSE	TRUE	FALSE	-los	bewegungs
entstellend	entstellend	ADJD	691	TRUE	FALSE	FALSE	FALSE	ent-	stellend
säurefreien	säurefrei	ADJA	690	FALSE	TRUE	FALSE	FALSE	-frei	säure
unergründlicher	unergründlich	ADJA	690	FALSE	FALSE	FALSE	TRUE	un-	ergründlich
enthaltend	enthaltend	ADJD	690	TRUE	FALSE	FALSE	FALSE	ent-	haltend
unglücklichsten	unglücklich	ADJD	690	FALSE	FALSE	FALSE	TRUE	un-	glücklich
unvermittelter	unvermittelt	ADJA	689	FALSE	FALSE	FALSE	TRUE	un-	vermittelt
unverhüllter	unverhüllt	ADJA	689	FALSE	FALSE	FALSE	TRUE	un-	verhüllt
unerlösten	unerlöst	ADJA	689	FALSE	FALSE	FALSE	TRUE	un-	erlöst
uneinbringlichen	uneinbringlich	ADJA	688	FALSE	FALSE	FALSE	TRUE	un-	einbringlich
nutzlosem	nutzlos	ADJA	687	FALSE	FALSE	TRUE	FALSE	-los	nutz
mutterlosen	mutterlos	ADJA	687	FALSE	FALSE	TRUE	FALSE	-los	mutter
ungekochte	ungekocht	ADJA	687	FALSE	FALSE	FALSE	TRUE	un-	gekocht
enthüllend	enthüllend	ADJD	687	TRUE	FALSE	FALSE	FALSE	ent-	hüllend
undurchlässiger	undurchlässig	ADJD	687	FALSE	FALSE	FALSE	TRUE	un-	durchlässig
unrasierter	unrasiert	ADJA	686	FALSE	FALSE	FALSE	TRUE	un-	rasiert
sinnlosesten	sinnlos	ADJA	686	FALSE	FALSE	TRUE	FALSE	-los	sinn
humorfreie	humorfrei	ADJA	686	FALSE	TRUE	FALSE	FALSE	-frei	humor
flügellosen	flügellos	ADJA	686	FALSE	FALSE	TRUE	FALSE	-los	flügel
unbedeutendste	unbedeutend	ADJA	685	FALSE	FALSE	FALSE	TRUE	un-	bedeutend
unverbaubarem	unverbaubar	ADJA	685	FALSE	FALSE	FALSE	TRUE	un-	verbaubar
ungeil	ungeil	ADJD	685	FALSE	FALSE	FALSE	TRUE	un-	geil
ungedopt	ungedopt	ADJD	685	FALSE	FALSE	FALSE	TRUE	un-	gedopt
uneffektiven	uneffektiv	ADJA	684	FALSE	FALSE	FALSE	TRUE	un-	effektiv
unberechenbarem	unberechenbar	ADJA	684	FALSE	FALSE	FALSE	TRUE	un-	berechenbar
ungenierter	ungeniert	ADJA	684	FALSE	FALSE	FALSE	TRUE	un-	geniert
unangenehmsten	unangenehm	ADJD	684	FALSE	FALSE	FALSE	TRUE	un-	angenehm
unerprobt	unerprobt	ADJD	684	FALSE	FALSE	FALSE	TRUE	un-	erprobt
unübertrefflicher	unübertrefflich	ADJA	683	FALSE	FALSE	FALSE	TRUE	un-	übertrefflich
unsensibles	unsensibel	ADJA	683	FALSE	FALSE	FALSE	TRUE	un-	sensibel
unausstehlichen	unausstehlich	ADJA	683	FALSE	FALSE	FALSE	TRUE	un-	ausstehlich
uneinbringliche	uneinbringlich	ADJA	683	FALSE	FALSE	FALSE	TRUE	un-	einbringlich
geräuschloser	geräuschlos	ADJA	682	FALSE	FALSE	TRUE	FALSE	-los	geräusch
ungedüngten	ungedüngt	ADJA	682	FALSE	FALSE	FALSE	TRUE	un-	gedüngt
unzertrennbar	unzertrennbar	ADJD	682	FALSE	FALSE	FALSE	TRUE	un-	zertrennbar
blicklos	blicklos	ADJD	682	FALSE	FALSE	TRUE	FALSE	-los	blick
unstillbarem	unstillbar	ADJA	681	FALSE	FALSE	FALSE	TRUE	un-	stillbar
entlassenden	entlassend	ADJA	681	TRUE	FALSE	FALSE	FALSE	ent-	lassend
unabhängigeren	unabhängig	ADJA	681	FALSE	FALSE	FALSE	TRUE	un-	abhängig
trostlosem	trostlos	ADJA	680	FALSE	FALSE	TRUE	FALSE	-los	trost
rückenfreien	rückenfrei	ADJA	680	FALSE	TRUE	FALSE	FALSE	-frei	rücken
untrennbares	untrennbar	ADJA	679	FALSE	FALSE	FALSE	TRUE	un-	trennbar
undurchdringlicher	undurchdringlich	ADJD	679	FALSE	FALSE	FALSE	TRUE	un-	durchdringlich
unähnliche	unähnlich	ADJA	678	FALSE	FALSE	FALSE	TRUE	un-	ähnlich
sozialversicherungsfreie	sozialversicherungsfrei	ADJA	678	FALSE	TRUE	FALSE	FALSE	-frei	sozialversicherungs
reibungsfreien	reibungsfrei	ADJA	677	FALSE	TRUE	FALSE	FALSE	-frei	reibungs
unerzogenen	unerzogen	ADJA	677	FALSE	FALSE	FALSE	TRUE	un-	erzogen
entschädigungslosen	entschädigungslos	ADJA	677	FALSE	FALSE	TRUE	FALSE	-los	entschädigungs
fernsehfreien	fernsehfrei	ADJA	676	FALSE	TRUE	FALSE	FALSE	-frei	fernseh
unverzollter	unverzollt	ADJA	676	FALSE	FALSE	FALSE	TRUE	un-	verzollt
farbloser	farblos	ADJD	676	FALSE	FALSE	TRUE	FALSE	-los	farb
diskriminierungsfreier	diskriminierungsfrei	ADJA	675	FALSE	TRUE	FALSE	FALSE	-frei	diskriminierungs
anfallsfrei	anfallsfrei	ADJD	675	FALSE	TRUE	FALSE	FALSE	-frei	anfalls
entspannterer	entspannt	ADJA	674	TRUE	FALSE	FALSE	FALSE	ent-	spannt
entleihenden	entleihend	ADJA	674	TRUE	FALSE	FALSE	FALSE	ent-	leihend
werbefreies	werbefrei	ADJA	673	FALSE	TRUE	FALSE	FALSE	-frei	werbe
sorgenfreier	sorgenfrei	ADJA	673	FALSE	TRUE	FALSE	FALSE	-frei	sorgen
schneelose	schneelos	ADJA	673	FALSE	FALSE	TRUE	FALSE	-los	schnee
unernsten	unernst	ADJA	673	FALSE	FALSE	FALSE	TRUE	un-	ernst
unwirtlichem	unwirtlich	ADJA	673	FALSE	FALSE	FALSE	TRUE	un-	wirtlich
ungebräuchlich	ungebräuchlich	ADJD	673	FALSE	FALSE	FALSE	TRUE	un-	gebräuchlich
ungekanntes	ungekannt	ADJA	672	FALSE	FALSE	FALSE	TRUE	un-	gekannt
unverfänglicher	unverfänglich	ADJA	672	FALSE	FALSE	FALSE	TRUE	un-	verfänglich
ungebärdige	ungebärdig	ADJA	672	FALSE	FALSE	FALSE	TRUE	un-	gebärdig
unruhigsten	unruhig	ADJA	672	FALSE	FALSE	FALSE	TRUE	un-	ruhig
geschlechtslosen	geschlechtslos	ADJA	672	FALSE	FALSE	TRUE	FALSE	-los	geschlechts
ungeputzten	ungeputzt	ADJA	671	FALSE	FALSE	FALSE	TRUE	un-	geputzt
unbequemste	unbequem	ADJA	671	FALSE	FALSE	FALSE	TRUE	un-	bequem
uneingelösten	uneingelöst	ADJA	671	FALSE	FALSE	FALSE	TRUE	un-	eingelöst
enttäuschtem	enttäuscht	ADJA	671	TRUE	FALSE	FALSE	FALSE	ent-	täuscht
ideenloses	ideenlos	ADJA	671	FALSE	FALSE	TRUE	FALSE	-los	ideen
wurzellos	wurzellos	ADJD	671	FALSE	FALSE	TRUE	FALSE	-los	wurzel
hornlosen	hornlos	ADJA	670	FALSE	FALSE	TRUE	FALSE	-los	horn
ungreifbare	ungreifbar	ADJA	670	FALSE	FALSE	FALSE	TRUE	un-	greifbar
unergründliches	unergründlich	ADJA	670	FALSE	FALSE	FALSE	TRUE	un-	ergründlich
ungelegten	ungelegt	ADJA	670	FALSE	FALSE	FALSE	TRUE	un-	gelegt
nebelfreien	nebelfrei	ADJA	670	FALSE	TRUE	FALSE	FALSE	-frei	nebel
uneingestandenen	uneingestanden	ADJA	670	FALSE	FALSE	FALSE	TRUE	un-	eingestanden
unerheblicher	unerheblich	ADJD	670	FALSE	FALSE	FALSE	TRUE	un-	erheblich
entmündigten	entmündigt	ADJA	669	TRUE	FALSE	FALSE	FALSE	ent-	mündigt
unschönem	unschön	ADJA	669	FALSE	FALSE	FALSE	TRUE	un-	schön
unfehlbares	unfehlbar	ADJA	669	FALSE	FALSE	FALSE	TRUE	un-	fehlbar
ungewaschener	ungewaschen	ADJA	668	FALSE	FALSE	FALSE	TRUE	un-	gewaschen
kommentarlose	kommentarlos	ADJA	668	FALSE	FALSE	TRUE	FALSE	-los	kommentar
unangefochtenes	unangefochten	ADJA	668	FALSE	FALSE	FALSE	TRUE	un-	angefochten
ungelebte	ungelebt	ADJA	668	FALSE	FALSE	FALSE	TRUE	un-	gelebt
untenstehendes	untenstehend	ADJA	667	FALSE	FALSE	FALSE	TRUE	un-	tenstehend
mautfreien	mautfrei	ADJA	667	FALSE	TRUE	FALSE	FALSE	-frei	maut
unfrohe	unfroh	ADJA	667	FALSE	FALSE	FALSE	TRUE	un-	froh
stützenfreie	stützenfrei	ADJA	667	FALSE	TRUE	FALSE	FALSE	-frei	stützen
unpatriotischen	unpatriotisch	ADJA	667	FALSE	FALSE	FALSE	TRUE	un-	patriotisch
unfasslich	unfasslich	ADJD	667	FALSE	FALSE	FALSE	TRUE	un-	fasslich
konkurrenzloser	konkurrenzlos	ADJA	666	FALSE	FALSE	TRUE	FALSE	-los	konkurrenz
kompromißloser	kompromißlos	ADJA	666	FALSE	FALSE	TRUE	FALSE	-los	kompromiß
unbewirtschaftet	unbewirtschaftet	ADJD	666	FALSE	FALSE	FALSE	TRUE	un-	bewirtschaftet
drehfreien	drehfrei	ADJA	665	FALSE	TRUE	FALSE	FALSE	-frei	dreh
schadenfrei	schadenfrei	ADJD	665	FALSE	TRUE	FALSE	FALSE	-frei	schaden
unbeleckte	unbeleckt	ADJA	664	FALSE	FALSE	FALSE	TRUE	un-	beleckt
unfrankiert	unfrankiert	ADJD	664	FALSE	FALSE	FALSE	TRUE	un-	frankiert
unflätiges	unflätig	ADJA	663	FALSE	FALSE	FALSE	TRUE	un-	flätig
unmißverständlichen	unmissverständlich	ADJA	663	FALSE	FALSE	FALSE	TRUE	un-	missverständlich
unmotivierter	unmotiviert	ADJA	663	FALSE	FALSE	FALSE	TRUE	un-	motiviert
unveränderbaren	unveränderbar	ADJA	663	FALSE	FALSE	FALSE	TRUE	un-	veränderbar
drucklosen	drucklos	ADJA	663	FALSE	FALSE	TRUE	FALSE	-los	druck
entflammbarem	entflammbar	ADJA	662	TRUE	FALSE	FALSE	FALSE	ent-	flammbar
unversorgter	unversorgt	ADJA	662	FALSE	FALSE	FALSE	TRUE	un-	versorgt
ungefederten	ungefedert	ADJA	662	FALSE	FALSE	FALSE	TRUE	un-	gefedert
unwitzig	unwitzig	ADJD	662	FALSE	FALSE	FALSE	TRUE	un-	witzig
unpädagogisch	unpädagogisch	ADJD	662	FALSE	FALSE	FALSE	TRUE	un-	pädagogisch
unwiderrufliches	unwiderruflich	ADJA	661	FALSE	FALSE	FALSE	TRUE	un-	widerruflich
unpatriotische	unpatriotisch	ADJA	661	FALSE	FALSE	FALSE	TRUE	un-	patriotisch
verfahrensfrei	verfahrensfrei	ADJD	661	FALSE	TRUE	FALSE	FALSE	-frei	verfahrens
unbeaufsichtigtes	unbeaufsichtigt	ADJA	660	FALSE	FALSE	FALSE	TRUE	un-	beaufsichtigt
aussichtlosen	aussichtlos	ADJA	660	FALSE	FALSE	TRUE	FALSE	-los	aussicht
unbesiedelt	unbesiedelt	ADJD	660	FALSE	FALSE	FALSE	TRUE	un-	besiedelt
unsanierter	unsaniert	ADJA	659	FALSE	FALSE	FALSE	TRUE	un-	saniert
unaufgeregtem	unaufgeregt	ADJA	659	FALSE	FALSE	FALSE	TRUE	un-	aufgeregt
entronnenen	entronnen	ADJA	659	TRUE	FALSE	FALSE	FALSE	ent-	ronnen
unverbaubare	unverbaubar	ADJA	659	FALSE	FALSE	FALSE	TRUE	un-	verbaubar
arbeitlos	arbeitlos	ADJD	659	FALSE	FALSE	TRUE	FALSE	-los	arbeit
enthemmter	enthemmter	ADJD	659	TRUE	FALSE	FALSE	FALSE	ent-	hemmter
unredliches	unredlich	ADJA	658	FALSE	FALSE	FALSE	TRUE	un-	redlich
ungezogener	ungezogen	ADJA	657	FALSE	FALSE	FALSE	TRUE	un-	gezogen
unbesiedelte	unbesiedelt	ADJA	657	FALSE	FALSE	FALSE	TRUE	un-	besiedelt
unbehelligte	unbehelligt	ADJA	656	FALSE	FALSE	FALSE	TRUE	un-	behelligt
chemiefrei	chemiefrei	ADJD	656	FALSE	TRUE	FALSE	FALSE	-frei	chemie
unbereinigten	unbereinigt	ADJA	655	FALSE	FALSE	FALSE	TRUE	un-	bereinigt
chancenloses	chancenlos	ADJA	655	FALSE	FALSE	TRUE	FALSE	-los	chancen
frauenfreie	frauenfrei	ADJA	655	FALSE	TRUE	FALSE	FALSE	-frei	frauen
unbescholtenes	unbescholten	ADJA	655	FALSE	FALSE	FALSE	TRUE	un-	bescholten
unumgängliches	unumgänglich	ADJA	654	FALSE	FALSE	FALSE	TRUE	un-	umgänglich
entsorgtes	entsorgt	ADJA	654	TRUE	FALSE	FALSE	FALSE	ent-	sorgt
komplikationslose	komplikationslos	ADJA	654	FALSE	FALSE	TRUE	FALSE	-los	komplikations
unaufdringlichem	unaufdringlich	ADJA	654	FALSE	FALSE	FALSE	TRUE	un-	aufdringlich
skrupellosesten	skrupellos	ADJA	654	FALSE	FALSE	TRUE	FALSE	-los	skrupel
lichtlose	lichtlos	ADJA	654	FALSE	FALSE	TRUE	FALSE	-los	licht
unkomisch	unkomisch	ADJD	654	FALSE	FALSE	FALSE	TRUE	un-	komisch
unbegreifbar	unbegreifbar	ADJD	653	FALSE	FALSE	FALSE	TRUE	un-	begreifbar
unreflektiertes	unreflektiert	ADJA	650	FALSE	FALSE	FALSE	TRUE	un-	reflektiert
unrealisierte	unrealisiert	ADJA	650	FALSE	FALSE	FALSE	TRUE	un-	realisiert
textilfreies	textilfrei	ADJA	649	FALSE	TRUE	FALSE	FALSE	-frei	textil
männerfreie	männerfrei	ADJA	649	FALSE	TRUE	FALSE	FALSE	-frei	männer
